page,country,rev_id,prediction,population,region
Musa al-Alami (mayor of Jerusalem),Palestinian Territory,802436655.0,Stub,5.008,ASIA
Hussam ad-Din Jarallah,Palestinian Territory,802438226.0,Start,5.008,ASIA
As'ad Shukeiri,Palestinian Territory,802444446.0,Stub,5.008,ASIA
Eyad al-Sarraj,Palestinian Territory,802495061.0,Start,5.008,ASIA
Abdel Aziz al-Rantisi,Palestinian Territory,802598153.0,C,5.008,ASIA
Fatima Bernawi,Palestinian Territory,802835604.0,Start,5.008,ASIA
Ahmad Sa'adat,Palestinian Territory,802968215.0,C,5.008,ASIA
Salah Shehade,Palestinian Territory,803242304.0,C,5.008,ASIA
Mahmoud Abbas,Palestinian Territory,803433440.0,B,5.008,ASIA
Yasser Arafat,Palestinian Territory,804075706.0,FA,5.008,ASIA
Ahmad Shukeiri,Palestinian Territory,804132518.0,Start,5.008,ASIA
10 agorot controversy,Palestinian Territory,804292510.0,Start,5.008,ASIA
2000 Camp David Summit,Palestinian Territory,804914588.0,B,5.008,ASIA
Amin al-Husseini,Palestinian Territory,804940228.0,B,5.008,ASIA
Adel Zawati,Palestinian Territory,804957442.0,Start,5.008,ASIA
Omar Barghouti,Palestinian Territory,805306238.0,C,5.008,ASIA
Arab Money,Palestinian Territory,805321868.0,C,5.008,ASIA
Ghassan Khatib,Palestinian Territory,805441005.0,Start,5.008,ASIA
Ahmad Toukan,Palestinian Territory,805811873.0,Start,5.008,ASIA
Khalil al-Wazir,Palestinian Territory,806359448.0,B,5.008,ASIA
Ismail Haniyeh,Palestinian Territory,806939531.0,C,5.008,ASIA
Nizar Rayan,Palestinian Territory,807364845.0,GA,5.008,ASIA
Haifa al-Agha,Palestinian Territory,807439836.0,Stub,5.008,ASIA
Mahmoud al-Zahar,Palestinian Territory,807444564.0,C,5.008,ASIA
Hakam Balawi,Palestinian Territory,807459429.0,Start,5.008,ASIA
Yunis Al Astal,Palestinian Territory,807462818.0,Start,5.008,ASIA
Yos Por,Cambodia,393822005.0,Stub,15.497,ASIA
Than Sina,Cambodia,671073599.0,Stub,15.497,ASIA
Ieu Pannakar,Cambodia,712085445.0,Stub,15.497,ASIA
Taing Sunlay,Cambodia,713507166.0,Stub,15.497,ASIA
Dul Koeun,Cambodia,714524609.0,Stub,15.497,ASIA
Ly Kim Leang,Cambodia,714524624.0,Stub,15.497,ASIA
Chhor Leang Huot,Cambodia,714524714.0,Stub,15.497,ASIA
Thak Lany,Cambodia,714524870.0,Stub,15.497,ASIA
Sok San,Cambodia,714525029.0,Stub,15.497,ASIA
Tep Ngorn,Cambodia,714528164.0,Stub,15.497,ASIA
Chan Cheng,Cambodia,714528251.0,Stub,15.497,ASIA
Nhim Vanda,Cambodia,714528803.0,Stub,15.497,ASIA
Pen Panha,Cambodia,714528886.0,Stub,15.497,ASIA
Sieng Nam,Cambodia,714529109.0,Stub,15.497,ASIA
So Khun,Cambodia,714529370.0,Stub,15.497,ASIA
Nou Sam,Cambodia,714529507.0,Stub,15.497,ASIA
Rath Sarem,Cambodia,716812326.0,Stub,15.497,ASIA
Kong Vibol,Cambodia,726543264.0,Stub,15.497,ASIA
Monh Saphan,Cambodia,726543284.0,Stub,15.497,ASIA
Uk Rabun,Cambodia,726543336.0,Stub,15.497,ASIA
Ay Khorn,Cambodia,726543872.0,Stub,15.497,ASIA
Oung Ouen,Cambodia,726688556.0,Stub,15.497,ASIA
List of Deputy Prime Ministers of Cambodia,Cambodia,730617957.0,Stub,15.497,ASIA
